ID del cliente,Deserción en la empresa,Género del cliente,Cliente senior,Relación de pareja,Dependientes,Meses de contrato,Servicio telefónico,Múltiples líneas telefónicas,INTERNET,Seguridad en línea (INTERNET),Respaldo en línea (INTERNET),Protección del dispositivo (INTERNET),Soporte técnico (INTERNET),Televisión por cable,Streaming de películas,Tipo de contrato,Factura en línea,Forma de pago,Monto mensual,Monto total según meses contratados,Monto diario
0019-EFAEP,0,Mujer,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261,3.38
0019-GFNTW,0,Mujer,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560,1.5
0020-INWCK,0,Mujer,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849,3.19
0020-JDNXP,0,Mujer,0,1,1,34,0,0,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993,2.04
0021-IKXGC,0,Mujer,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72,2.4
0022-TCJCI,1,Hombre,1,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791,2.09
0023-HGHWL,1,Hombre,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25,0.84
0023-UYUPN,0,Mujer,1,1,0,50,1,1,No,0,0,0,0,0,0,One year,0,Electronic check,25.2,1306,0.84
0023-XUOPT,1,Mujer,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215,3.14
0027-KWYKW,0,Mujer,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849,2.79
0030-FNXPP,0,Mujer,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,57,0.66
0031-PVLZI,1,Mujer,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.35,76,0.68
0032-PGELS,1,Mujer,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30,1.02
0036-IHMOT,0,Mujer,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656,3.46
0040-HALCW,0,Hombre,0,1,1,54,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.4,1090,0.68
0042-JVWOJ,0,Hombre,0,0,0,26,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.6,471,0.65
0042-RLHYP,0,Mujer,0,1,1,69,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),19.7,1396,0.66
0047-ZHDTW,0,Mujer,0,0,0,11,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.0,929,2.63
0048-LUMLS,0,Hombre,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247,3.04
0048-PIHNL,0,Mujer,0,1,0,49,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.45,900,0.68
0052-DCKON,0,Hombre,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942,3.86
0052-YNYOT,0,Mujer,0,0,0,67,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,20.55,1343,0.68
0056-EPFBG,0,Hombre,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825,1.31
0057-QBUQH,0,Mujer,0,0,1,43,1,1,No,0,0,0,0,0,0,Two year,1,Electronic check,25.1,1070,0.84
0058-EVZWM,0,Mujer,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959,2.99
0060-FUALY,0,Mujer,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597,3.16
0064-SUDOG,0,Mujer,0,1,1,12,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,224,0.68
0064-YIJGF,0,Hombre,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929,2.52
0067-DKWBL,1,Hombre,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91,1.64
0068-FIGTF,0,Mujer,0,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078,2.61
0071-NDAFP,0,Hombre,0,1,1,25,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.5,630,0.85
0074-HDKDG,0,Hombre,0,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611,2.05
0076-LVEPS,0,Hombre,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242,1.5
0078-XZMHT,0,Hombre,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316,2.84
0080-EMYVY,0,Mujer,0,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727,1.72
0080-OROZO,0,Mujer,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532,3.31
0082-LDZUE,0,Hombre,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44,1.48
0082-OQIQY,0,Hombre,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607,3.14
0083-PIVIK,0,Hombre,0,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567,2.71
0089-IIQKO,0,Mujer,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767,3.33
0093-EXYQL,0,Mujer,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673,3.05
0093-XWZFY,1,Hombre,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036,3.48
0094-OIFMO,1,Mujer,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120,3.17
0096-BXERS,0,Mujer,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314,1.68
0096-FCPUF,0,Hombre,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888,2.15
0098-BOWSO,0,Hombre,0,0,0,27,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.4,529,0.65
0100-DUVFC,0,Hombre,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308,3.49
0103-CSITQ,0,Mujer,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252,3.65
0104-PPXDV,0,Hombre,0,1,0,58,1,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878,1.68
0106-GHRQR,0,Hombre,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212,2.38
0106-UGRDO,0,Mujer,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182,3.87
0107-WESLM,1,Hombre,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.85,19,0.66
0107-YHINA,1,Hombre,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99,3.32
0111-KLBQG,0,Hombre,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861,3.13
0112-QAWRZ,0,Hombre,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442,3.03
0112-QWPNC,1,Hombre,0,1,0,49,1,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,84.35,4059,2.81
0114-IGABW,0,Mujer,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145,1.94
0114-PEGZZ,0,Mujer,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645,3.58
0114-RSRRW,0,Mujer,0,1,0,10,1,0,No,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),19.95,187,0.66
0115-TFERT,1,Hombre,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317,3.71
0117-LFRMW,1,Hombre,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448,1.34
0118-JPNOY,0,Mujer,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193,2.86
0120-YZLQA,0,Hombre,0,0,0,71,1,0,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),19.9,1355,0.66
0121-SNYRK,0,Hombre,0,0,0,50,0,0,DSL,1,0,0,1,0,0,One year,1,Mailed check,35.4,1748,1.18
0122-OAHPZ,1,Mujer,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511,2.46
0123-CRBRT,0,Mujer,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Two year,0,Mailed check,88.1,5526,2.94
0125-LZQXK,1,Hombre,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553,3.38
0128-MKWSG,0,Mujer,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147,1.53
0129-KPTWJ,0,Hombre,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747,3.16
0129-QMPDR,0,Hombre,0,1,1,44,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),20.5,865,0.68
0130-SXOUN,0,Hombre,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976,2.98
0133-BMFZO,1,Mujer,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,181,2.88
0134-XWXCE,0,Mujer,1,0,0,44,1,0,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268,2.49
0135-NMXAP,1,Mujer,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052,2.99
0136-IFMYD,0,Hombre,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,7634,3.66
0137-OCGAB,1,Mujer,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,80,2.67
0137-UDEUO,1,Mujer,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,63,0.66
0139-IVFJG,0,Mujer,0,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,190,3.01
0141-YEAYS,0,Mujer,1,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401,2.88
0142-GVYSN,0,Hombre,0,0,0,26,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,20.3,511,0.68
0147-ESWWR,0,Mujer,1,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949,3.38
0148-DCDOS,1,Hombre,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362,3.16
0151-ONTOV,1,Mujer,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,70,2.36
0154-QYHJU,0,Hombre,0,0,0,29,1,0,DSL,1,1,0,1,0,0,One year,1,Electronic check,58.75,1696,1.96
0156-FVPTA,1,Hombre,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152,1.81
0162-RZGMZ,0,Mujer,1,0,0,5,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.9,287,2.0
0164-APGRB,0,Mujer,0,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,114.9,8496,3.83
0164-XAIRP,0,Mujer,0,0,0,24,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.55,470,0.65
0168-XZKBB,0,Mujer,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564,2.9
0174-QRVVY,0,Hombre,0,1,1,71,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.35,1847,0.85
0177-PXBAT,0,Hombre,1,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694,3.66
0178-CIIKR,0,Mujer,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,58,0.66
0178-SZBHO,0,Hombre,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017,2.91
0181-RITDD,0,Hombre,0,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,108.15,6825,3.6
0186-CAERR,0,Hombre,0,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309,3.88
0187-QSXOE,0,Hombre,1,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,605,2.97
0187-WZNAB,0,Mujer,0,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972,2.48
0188-GWFLE,0,Hombre,0,0,0,2,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.05,33,0.67
0191-EQUUH,0,Mujer,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844,1.17
0191-ZHSKZ,0,Hombre,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111,2.49
0193-ESZXP,1,Mujer,1,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),105.5,6205,3.52
0195-IESCP,1,Hombre,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855,2.84
0196-JTUQI,0,Mujer,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633,2.51
0196-VULGZ,1,Mujer,1,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,474,2.81
0197-PNKNK,0,Mujer,0,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848,2.82
0201-MIBOL,0,Mujer,1,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471,3.41
0201-OAMXR,1,Mujer,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127,3.85
0203-HHYIJ,1,Hombre,0,0,0,25,1,1,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),25.3,676,0.84
0206-OYVOC,0,Mujer,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.25,864,0.64
0206-TBWLC,0,Mujer,0,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,114.65,6049,3.82
0207-MDKNV,1,Mujer,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582,3.5
0208-BPQEJ,0,Mujer,0,1,1,12,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.4,198,0.65
0212-ISBBF,0,Mujer,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,50.35,1098,1.68
0214-JHPFW,0,Mujer,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),57.8,4039,1.93
0215-BQKGS,0,Hombre,0,0,0,30,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,2438,2.81
0218-QNVAS,0,Hombre,0,1,1,71,1,1,Fiber optic,0,1,0,0,1,1,One year,0,Bank transfer (automatic),100.55,7113,3.35
0219-QAERP,0,Hombre,0,1,0,30,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),19.8,576,0.66
0219-YTZUE,1,Hombre,0,1,1,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371,2.83
0220-EBGCE,1,Hombre,0,0,0,2,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Electronic check,85.85,167,2.86
0221-NAUXK,0,Hombre,0,0,1,10,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.95,219,0.66
0221-WMXNQ,0,Hombre,1,0,0,4,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,273,2.51
0222-CNVPT,0,Hombre,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Month-to-month,1,Credit card (automatic),48.8,2555,1.63
0224-HJAPT,1,Hombre,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,47.15,223,1.57
0224-NIJLP,0,Hombre,0,1,1,8,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.15,165,0.67
0224-RLWWD,0,Mujer,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,44.3,89,1.48
0225-ZORZP,0,Hombre,0,0,0,3,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,84.3,235,2.81
0228-MAUWC,0,Hombre,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Month-to-month,0,Electronic check,59.55,1144,1.98
0229-LFJAF,0,Hombre,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.65,4908,2.32
0230-UBYPQ,0,Hombre,1,1,0,63,0,0,DSL,1,0,0,1,0,0,One year,0,Bank transfer (automatic),36.1,2298,1.2
0230-WEQUW,0,Hombre,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,3789,1.89
0231-LXVAP,1,Hombre,0,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,75.9,75,2.53
0233-FTHAV,0,Mujer,0,0,0,60,1,1,Fiber optic,0,0,1,0,0,0,One year,1,Bank transfer (automatic),79.2,4765,2.64
0234-TEVTT,0,Mujer,0,1,1,48,0,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),45.0,2196,1.5
0235-KGSLC,1,Mujer,0,0,0,1,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Credit card (automatic),85.55,85,2.85
0236-HFWSV,1,Hombre,0,0,0,15,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.35,1444,3.11
0237-YFUTL,0,Mujer,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),109.65,5405,3.66
0238-WHBIQ,0,Hombre,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.7,6339,2.99
0239-OXEXL,0,Mujer,0,0,0,46,1,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Mailed check,84.25,3847,2.81
0244-LGNFY,0,Mujer,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),92.65,6733,3.09
0247-SLUJI,0,Hombre,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.7,19,0.66
0248-IPDFW,0,Mujer,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,50.1,50,1.67
0248-PGHBZ,0,Mujer,1,0,0,67,1,0,Fiber optic,1,1,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,6140,3.08
0253-ZTEOB,0,Mujer,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Two year,0,Electronic check,79.65,3870,2.66
0254-FNMCI,0,Mujer,0,0,0,72,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,109.9,7624,3.66
0254-KCJGT,0,Hombre,0,1,0,52,1,1,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),81.4,4354,2.71
0254-WWRKD,0,Mujer,0,1,1,67,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),50.55,3431,1.68
0256-LTHVJ,1,Mujer,0,1,1,28,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227,2.7
0257-KXZGU,0,Mujer,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),62.45,2045,2.08
0257-ZESQC,1,Mujer,1,1,0,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,1929,2.51
0258-NOKBL,0,Hombre,0,0,0,3,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,0,Electronic check,90.4,268,3.01
0259-GBZSH,1,Hombre,0,0,0,2,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.65,181,2.86
0260-ZDLGK,1,Mujer,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Month-to-month,1,Mailed check,72.9,651,2.43
0263-FJTQO,0,Hombre,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Two year,1,Credit card (automatic),70.5,3486,2.35
0264-CNITK,0,Mujer,0,1,1,71,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.1,1389,0.67
0265-EDXBD,1,Hombre,1,1,0,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.9,2303,2.5
0265-PSUAE,0,Mujer,0,1,1,16,1,0,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),100.7,1522,3.36
0266-CLZKZ,0,Mujer,0,1,1,67,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Bank transfer (automatic),105.65,6717,3.52
0266-GMEAO,0,Hombre,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),114.3,8058,3.81
0268-QKIWO,1,Mujer,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.75,58,0.66
0269-XFESX,0,Hombre,0,1,1,23,1,1,No,0,0,0,0,0,0,One year,0,Mailed check,24.35,538,0.81
0270-THENM,0,Hombre,0,1,1,72,1,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.85,5102,2.33
0274-JKUJR,0,Hombre,0,1,1,7,0,0,DSL,1,1,1,0,1,1,Month-to-month,0,Mailed check,58.85,465,1.96
0274-VVQOQ,0,Hombre,1,1,0,65,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Bank transfer (automatic),103.15,6792,3.44
0277-BKSQP,0,Hombre,0,1,1,8,1,0,DSL,0,0,0,0,1,0,Month-to-month,1,Electronic check,54.4,475,1.81
0277-ORXQS,0,Hombre,0,1,1,66,0,0,DSL,0,0,0,1,1,1,Two year,0,Bank transfer (automatic),50.55,3364,1.68
0278-YXOOG,1,Hombre,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113,0.7
0280-XJGEX,1,Hombre,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036,3.46
0281-CNTZX,0,Hombre,0,1,0,63,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.95,1234,0.66
0282-NVSJS,0,Mujer,1,1,1,12,0,0,DSL,0,0,0,1,0,0,Month-to-month,1,Mailed check,29.3,355,0.98
0285-INHLN,0,Hombre,0,1,1,27,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Credit card (automatic),54.75,1510,1.82
0289-IVARM,0,Mujer,0,0,0,35,1,0,DSL,1,1,1,0,0,0,Month-to-month,0,Electronic check,60.55,1982,2.02
0292-WEGCH,0,Mujer,0,1,1,54,1,1,DSL,0,1,1,1,1,1,Month-to-month,1,Electronic check,86.2,4524,2.87
0295-PPHDO,1,Hombre,0,0,0,1,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,95,3.18
0295-QVKPB,0,Hombre,0,0,0,5,1,0,DSL,0,0,1,1,1,0,Month-to-month,1,Credit card (automatic),63.95,318,2.13
0297-RBCSG,0,Hombre,0,0,0,19,1,0,DSL,0,1,0,1,0,1,One year,1,Bank transfer (automatic),65.35,1231,2.18
0298-XACET,0,Hombre,0,1,1,52,0,0,DSL,0,1,1,1,1,0,Two year,0,Mailed check,50.2,2554,1.67
0301-FIDRB,0,Mujer,0,1,1,72,0,0,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),63.8,4684,2.13
0301-KOBTQ,0,Hombre,0,0,0,32,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.05,614,0.67
